Sample,study,media_type,media,source,community,days
SRR7134067,goldford,simple,Citrate,goldford_X1,goldford_X1_1.0,24
SRR7134068,goldford,simple,Citrate,goldford_X2,goldford_X2_1.0,24
SRR7134065,goldford,simple,Citrate,goldford_X3,goldford_X3_1.0,24
SRR7134066,goldford,simple,Citrate,goldford_X4,goldford_X4_1.0,24
SRR7134071,goldford,simple,Citrate,goldford_X5,goldford_X5_1.0,24
SRR7134072,goldford,simple,Citrate,goldford_X6,goldford_X6_1.0,24
SRR7134073,goldford,simple,Citrate,goldford_X7,goldford_X7_1.0,24
SRR7134070,goldford,simple,Citrate,goldford_X8,goldford_X8_1.0,24
SRR7134063,goldford,simple,Citrate,goldford_X9,goldford_X9_1.0,24
SRR7134064,goldford,simple,Citrate,goldford_X10,goldford_X10_1.0,24
SRR7133962,goldford,simple,Citrate,goldford_X11,goldford_X11_1.0,24
SRR7133963,goldford,simple,Citrate,goldford_X12,goldford_X12_1.0,24
SRR7133960,goldford,simple,Citrate,goldford_X1,goldford_X1_2.0,24
SRR7133961,goldford,simple,Citrate,goldford_X2,goldford_X2_2.0,24
SRR7133966,goldford,simple,Citrate,goldford_X3,goldford_X3_2.0,24
SRR7133967,goldford,simple,Citrate,goldford_X4,goldford_X4_2.0,24
SRR7133964,goldford,simple,Citrate,goldford_X5,goldford_X5_2.0,24
SRR7133965,goldford,simple,Citrate,goldford_X6,goldford_X6_2.0,24
SRR7133957,goldford,simple,Citrate,goldford_X7,goldford_X7_2.0,24
SRR7133958,goldford,simple,Citrate,goldford_X8,goldford_X8_2.0,24
SRR7134056,goldford,simple,Citrate,goldford_X9,goldford_X9_2.0,24
SRR7134055,goldford,simple,Citrate,goldford_X10,goldford_X10_2.0,24
SRR7134054,goldford,simple,Citrate,goldford_X11,goldford_X11_2.0,24
SRR7134053,goldford,simple,Citrate,goldford_X12,goldford_X12_2.0,24
SRR7134060,goldford,simple,Citrate,goldford_X1,goldford_X1_3.0,24
SRR7134059,goldford,simple,Citrate,goldford_X2,goldford_X2_3.0,24
SRR7134058,goldford,simple,Citrate,goldford_X3,goldford_X3_3.0,24
SRR7134057,goldford,simple,Citrate,goldford_X4,goldford_X4_3.0,24
SRR7134062,goldford,simple,Citrate,goldford_X5,goldford_X5_3.0,24
SRR7134061,goldford,simple,Citrate,goldford_X6,goldford_X6_3.0,24
SRR7134211,goldford,simple,Citrate,goldford_X7,goldford_X7_3.0,24
SRR7134212,goldford,simple,Citrate,goldford_X8,goldford_X8_3.0,24
SRR7134213,goldford,simple,Citrate,goldford_X9,goldford_X9_3.0,24
SRR7134214,goldford,simple,Citrate,goldford_X10,goldford_X10_3.0,24
SRR7134207,goldford,simple,Citrate,goldford_X11,goldford_X11_3.0,24
SRR7134208,goldford,simple,Citrate,goldford_X12,goldford_X12_3.0,24
SRR7134209,goldford,simple,Citrate,goldford_X1,goldford_X1_4.0,24
SRR7134210,goldford,simple,Citrate,goldford_X2,goldford_X2_4.0,24
