Sample,study,media_type,media,source,community,days
SRR7134205,goldford,simple,Citrate,goldford_X3,goldford_X3_4.0,24
SRR7134206,goldford,simple,Citrate,goldford_X4,goldford_X4_4.0,24
SRR7134305,goldford,simple,Citrate,goldford_X5,goldford_X5_4.0,24
SRR7134304,goldford,simple,Citrate,goldford_X6,goldford_X6_4.0,24
SRR7134307,goldford,simple,Citrate,goldford_X7,goldford_X7_4.0,24
SRR7134306,goldford,simple,Citrate,goldford_X8,goldford_X8_4.0,24
SRR7134301,goldford,simple,Citrate,goldford_X9,goldford_X9_4.0,24
SRR7134300,goldford,simple,Citrate,goldford_X10,goldford_X10_4.0,24
SRR7134303,goldford,simple,Citrate,goldford_X11,goldford_X11_4.0,24
SRR7134302,goldford,simple,Citrate,goldford_X12,goldford_X12_4.0,24
SRR7134309,goldford,simple,Citrate,goldford_X1,goldford_X1_5.0,24
SRR7134308,goldford,simple,Citrate,goldford_X2,goldford_X2_5.0,24
SRR7133898,goldford,simple,Citrate,goldford_X3,goldford_X3_5.0,24
SRR7133899,goldford,simple,Citrate,goldford_X4,goldford_X4_5.0,24
SRR7133896,goldford,simple,Citrate,goldford_X5,goldford_X5_5.0,24
SRR7133897,goldford,simple,Citrate,goldford_X6,goldford_X6_5.0,24
SRR7133852,goldford,simple,Citrate,goldford_X7,goldford_X7_5.0,24
SRR7133895,goldford,simple,Citrate,goldford_X8,goldford_X8_5.0,24
SRR7133892,goldford,simple,Citrate,goldford_X9,goldford_X9_5.0,24
SRR7133893,goldford,simple,Citrate,goldford_X10,goldford_X10_5.0,24
SRR7134215,goldford,simple,Citrate,goldford_X11,goldford_X11_5.0,24
SRR7133902,goldford,simple,Citrate,goldford_X12,goldford_X12_5.0,24
SRR7133988,goldford,simple,Citrate,goldford_X1,goldford_X1_6.0,24
SRR7133987,goldford,simple,Citrate,goldford_X2,goldford_X2_6.0,24
SRR7133986,goldford,simple,Citrate,goldford_X3,goldford_X3_6.0,24
SRR7133985,goldford,simple,Citrate,goldford_X4,goldford_X4_6.0,24
SRR7133984,goldford,simple,Citrate,goldford_X5,goldford_X5_6.0,24
SRR7133983,goldford,simple,Citrate,goldford_X6,goldford_X6_6.0,24
SRR7133982,goldford,simple,Citrate,goldford_X7,goldford_X7_6.0,24
SRR7133981,goldford,simple,Citrate,goldford_X8,goldford_X8_6.0,24
SRR7133980,goldford,simple,Citrate,goldford_X9,goldford_X9_6.0,24
SRR7133979,goldford,simple,Citrate,goldford_X10,goldford_X10_6.0,24
SRR7133989,goldford,simple,Citrate,goldford_X11,goldford_X11_6.0,24
SRR7134149,goldford,simple,Citrate,goldford_X12,goldford_X12_6.0,24
SRR7134150,goldford,simple,Citrate,goldford_X1,goldford_X1_7.0,24
SRR7134151,goldford,simple,Citrate,goldford_X2,goldford_X2_7.0,24
SRR7134152,goldford,simple,Citrate,goldford_X3,goldford_X3_7.0,24
SRR7134153,goldford,simple,Citrate,goldford_X4,goldford_X4_7.0,24
SRR7134008,goldford,simple,Citrate,goldford_X5,goldford_X5_7.0,24
SRR7134155,goldford,simple,Citrate,goldford_X6,goldford_X6_7.0,24
SRR7134146,goldford,simple,Citrate,goldford_X7,goldford_X7_7.0,24
SRR7134147,goldford,simple,Citrate,goldford_X8,goldford_X8_7.0,24
SRR7133970,goldford,simple,Citrate,goldford_X9,goldford_X9_7.0,24
SRR7133969,goldford,simple,Citrate,goldford_X10,goldford_X10_7.0,24
SRR7133972,goldford,simple,Citrate,goldford_X1,goldford_X1_8.0,24
SRR7133971,goldford,simple,Citrate,goldford_X2,goldford_X2_8.0,24
SRR7133974,goldford,simple,Citrate,goldford_X3,goldford_X3_8.0,24
SRR7133973,goldford,simple,Citrate,goldford_X4,goldford_X4_8.0,24
SRR7133976,goldford,simple,Citrate,goldford_X5,goldford_X5_8.0,24
SRR7133975,goldford,simple,Citrate,goldford_X6,goldford_X6_8.0,24
SRR7133978,goldford,simple,Citrate,goldford_X7,goldford_X7_8.0,24
SRR7133977,goldford,simple,Citrate,goldford_X8,goldford_X8_8.0,24
SRR7134137,goldford,simple,Citrate,goldford_X9,goldford_X9_8.0,24
SRR7134138,goldford,simple,Citrate,goldford_X10,goldford_X10_8.0,24
SRR7134135,goldford,simple,Leucine,goldford_X1,goldford_X1_1.0,24
SRR7134136,goldford,simple,Leucine,goldford_X2,goldford_X2_1.0,24
SRR7134141,goldford,simple,Leucine,goldford_X3,goldford_X3_1.0,24
SRR7134142,goldford,simple,Leucine,goldford_X4,goldford_X4_1.0,24
SRR7134139,goldford,simple,Leucine,goldford_X5,goldford_X5_1.0,24
SRR7134140,goldford,simple,Leucine,goldford_X6,goldford_X6_1.0,24
SRR7134143,goldford,simple,Leucine,goldford_X7,goldford_X7_1.0,24
SRR7134144,goldford,simple,Leucine,goldford_X8,goldford_X8_1.0,24
SRR7134248,goldford,simple,Leucine,goldford_X9,goldford_X9_1.0,24
SRR7134247,goldford,simple,Leucine,goldford_X10,goldford_X10_1.0,24
SRR7134250,goldford,simple,Leucine,goldford_X11,goldford_X11_1.0,24
SRR7134249,goldford,simple,Leucine,goldford_X12,goldford_X12_1.0,24
SRR7134252,goldford,simple,Leucine,goldford_X1,goldford_X1_2.0,24
SRR7134251,goldford,simple,Leucine,goldford_X2,goldford_X2_2.0,24
SRR7134254,goldford,simple,Leucine,goldford_X3,goldford_X3_2.0,24
SRR7134253,goldford,simple,Leucine,goldford_X4,goldford_X4_2.0,24
SRR7134240,goldford,simple,Leucine,goldford_X5,goldford_X5_2.0,24
SRR7134239,goldford,simple,Leucine,goldford_X6,goldford_X6_2.0,24
SRR7134095,goldford,simple,Leucine,goldford_X7,goldford_X7_2.0,24
SRR7134096,goldford,simple,Leucine,goldford_X8,goldford_X8_2.0,24
SRR7134093,goldford,simple,Leucine,goldford_X9,goldford_X9_2.0,24
SRR7134094,goldford,simple,Leucine,goldford_X10,goldford_X10_2.0,24
SRR7134099,goldford,simple,Leucine,goldford_X11,goldford_X11_2.0,24
SRR7134100,goldford,simple,Leucine,goldford_X12,goldford_X12_2.0,24
SRR7134097,goldford,simple,Leucine,goldford_X1,goldford_X1_3.0,24
SRR7134098,goldford,simple,Leucine,goldford_X2,goldford_X2_3.0,24
SRR7134091,goldford,simple,Leucine,goldford_X3,goldford_X3_3.0,24
SRR7134092,goldford,simple,Leucine,goldford_X4,goldford_X4_3.0,24
SRR7133933,goldford,simple,Leucine,goldford_X5,goldford_X5_3.0,24
SRR7133932,goldford,simple,Leucine,goldford_X6,goldford_X6_3.0,24
SRR7133931,goldford,simple,Leucine,goldford_X7,goldford_X7_3.0,24
SRR7133930,goldford,simple,Leucine,goldford_X8,goldford_X8_3.0,24
SRR7133929,goldford,simple,Leucine,goldford_X9,goldford_X9_3.0,24
SRR7133928,goldford,simple,Leucine,goldford_X10,goldford_X10_3.0,24
SRR7133927,goldford,simple,Leucine,goldford_X11,goldford_X11_3.0,24
SRR7133926,goldford,simple,Leucine,goldford_X12,goldford_X12_3.0,24
SRR7133925,goldford,simple,Leucine,goldford_X1,goldford_X1_4.0,24
SRR7133924,goldford,simple,Leucine,goldford_X2,goldford_X2_4.0,24
SRR7134341,goldford,simple,Leucine,goldford_X3,goldford_X3_4.0,24
SRR7134342,goldford,simple,Leucine,goldford_X4,goldford_X4_4.0,24
SRR7134343,goldford,simple,Leucine,goldford_X5,goldford_X5_4.0,24
SRR7134344,goldford,simple,Leucine,goldford_X6,goldford_X6_4.0,24
SRR7134345,goldford,simple,Leucine,goldford_X7,goldford_X7_4.0,24
SRR7134346,goldford,simple,Leucine,goldford_X8,goldford_X8_4.0,24
SRR7134347,goldford,simple,Leucine,goldford_X9,goldford_X9_4.0,24
SRR7134348,goldford,simple,Leucine,goldford_X10,goldford_X10_4.0,24
SRR7134349,goldford,simple,Leucine,goldford_X11,goldford_X11_4.0,24
SRR7134350,goldford,simple,Leucine,goldford_X12,goldford_X12_4.0,24
SRR7134188,goldford,simple,Leucine,goldford_X1,goldford_X1_5.0,24
SRR7134187,goldford,simple,Leucine,goldford_X2,goldford_X2_5.0,24
SRR7134190,goldford,simple,Leucine,goldford_X3,goldford_X3_5.0,24
SRR7134189,goldford,simple,Leucine,goldford_X4,goldford_X4_5.0,24
SRR7134184,goldford,simple,Leucine,goldford_X5,goldford_X5_5.0,24
SRR7134183,goldford,simple,Leucine,goldford_X6,goldford_X6_5.0,24
SRR7134186,goldford,simple,Leucine,goldford_X7,goldford_X7_5.0,24
SRR7134185,goldford,simple,Leucine,goldford_X8,goldford_X8_5.0,24
SRR7134194,goldford,simple,Leucine,goldford_X9,goldford_X9_5.0,24
SRR7134193,goldford,simple,Leucine,goldford_X10,goldford_X10_5.0,24
SRR7134037,goldford,simple,Leucine,goldford_X11,goldford_X11_5.0,24
SRR7134038,goldford,simple,Leucine,goldford_X12,goldford_X12_5.0,24
SRR7134035,goldford,simple,Leucine,goldford_X1,goldford_X1_6.0,24
SRR7134036,goldford,simple,Leucine,goldford_X2,goldford_X2_6.0,24
SRR7134033,goldford,simple,Leucine,goldford_X3,goldford_X3_6.0,24
SRR7134034,goldford,simple,Leucine,goldford_X4,goldford_X4_6.0,24
SRR7134031,goldford,simple,Leucine,goldford_X5,goldford_X5_6.0,24
SRR7134032,goldford,simple,Leucine,goldford_X6,goldford_X6_6.0,24
SRR7134041,goldford,simple,Leucine,goldford_X7,goldford_X7_6.0,24
SRR7134042,goldford,simple,Leucine,goldford_X8,goldford_X8_6.0,24
SRR7133871,goldford,simple,Leucine,goldford_X9,goldford_X9_6.0,24
SRR7133870,goldford,simple,Leucine,goldford_X10,goldford_X10_6.0,24
SRR7133869,goldford,simple,Leucine,goldford_X11,goldford_X11_6.0,24
SRR7133868,goldford,simple,Leucine,goldford_X12,goldford_X12_6.0,24
SRR7133875,goldford,simple,Leucine,goldford_X1,goldford_X1_7.0,24
SRR7133874,goldford,simple,Leucine,goldford_X2,goldford_X2_7.0,24
SRR7133873,goldford,simple,Leucine,goldford_X3,goldford_X3_7.0,24
SRR7134069,goldford,simple,Leucine,goldford_X4,goldford_X4_7.0,24
SRR7133866,goldford,simple,Leucine,goldford_X5,goldford_X5_7.0,24
SRR7133865,goldford,simple,Leucine,goldford_X6,goldford_X6_7.0,24
SRR7134287,goldford,simple,Leucine,goldford_X7,goldford_X7_7.0,24
SRR7134288,goldford,simple,Leucine,goldford_X8,goldford_X8_7.0,24
SRR7134289,goldford,simple,Leucine,goldford_X9,goldford_X9_7.0,24
SRR7134290,goldford,simple,Leucine,goldford_X10,goldford_X10_7.0,24
SRR7134283,goldford,simple,Leucine,goldford_X1,goldford_X1_8.0,24
SRR7134284,goldford,simple,Leucine,goldford_X2,goldford_X2_8.0,24
SRR7134285,goldford,simple,Leucine,goldford_X3,goldford_X3_8.0,24
SRR7134286,goldford,simple,Leucine,goldford_X4,goldford_X4_8.0,24
SRR7134281,goldford,simple,Leucine,goldford_X5,goldford_X5_8.0,24
SRR7134282,goldford,simple,Leucine,goldford_X6,goldford_X6_8.0,24
SRR7134365,goldford,simple,Leucine,goldford_X7,goldford_X7_8.0,24
SRR7134364,goldford,simple,Leucine,goldford_X8,goldford_X8_8.0,24
SRR7134367,goldford,simple,Leucine,goldford_X9,goldford_X9_8.0,24
SRR7134366,goldford,simple,Leucine,goldford_X10,goldford_X10_8.0,24
SRR7134369,goldford,simple,Glucose,goldford_X1,goldford_X1_1.0,24
SRR7134368,goldford,simple,Glucose,goldford_X2,goldford_X2_1.0,24
SRR7134371,goldford,simple,Glucose,goldford_X3,goldford_X3_1.0,24
SRR7134370,goldford,simple,Glucose,goldford_X4,goldford_X4_1.0,24
SRR7134373,goldford,simple,Glucose,goldford_X5,goldford_X5_1.0,24
SRR7134372,goldford,simple,Glucose,goldford_X6,goldford_X6_1.0,24
SRR7134219,goldford,simple,Glucose,goldford_X7,goldford_X7_1.0,24
SRR7134220,goldford,simple,Glucose,goldford_X8,goldford_X8_1.0,24
SRR7134217,goldford,simple,Glucose,goldford_X9,goldford_X9_1.0,24
SRR7134218,goldford,simple,Glucose,goldford_X10,goldford_X10_1.0,24
SRR7134223,goldford,simple,Glucose,goldford_X11,goldford_X11_1.0,24
SRR7134224,goldford,simple,Glucose,goldford_X12,goldford_X12_1.0,24
SRR7134221,goldford,simple,Glucose,goldford_X1,goldford_X1_2.0,24
SRR7134222,goldford,simple,Glucose,goldford_X2,goldford_X2_2.0,24
SRR7134225,goldford,simple,Glucose,goldford_X3,goldford_X3_2.0,24
SRR7134226,goldford,simple,Glucose,goldford_X4,goldford_X4_2.0,24
SRR7134230,goldford,simple,Glucose,goldford_X5,goldford_X5_2.0,24
SRR7134231,goldford,simple,Glucose,goldford_X6,goldford_X6_2.0,24
SRR7134228,goldford,simple,Glucose,goldford_X7,goldford_X7_2.0,24
SRR7134229,goldford,simple,Glucose,goldford_X8,goldford_X8_2.0,24
SRR7134234,goldford,simple,Glucose,goldford_X9,goldford_X9_2.0,24
SRR7134235,goldford,simple,Glucose,goldford_X10,goldford_X10_2.0,24
SRR7134232,goldford,simple,Glucose,goldford_X11,goldford_X11_2.0,24
SRR7134233,goldford,simple,Glucose,goldford_X12,goldford_X12_2.0,24
SRR7134236,goldford,simple,Glucose,goldford_X1,goldford_X1_3.0,24
SRR7134237,goldford,simple,Glucose,goldford_X2,goldford_X2_3.0,24
SRR7134375,goldford,simple,Glucose,goldford_X3,goldford_X3_3.0,24
SRR7134374,goldford,simple,Glucose,goldford_X4,goldford_X4_3.0,24
SRR7134377,goldford,simple,Glucose,goldford_X5,goldford_X5_3.0,24
SRR7134376,goldford,simple,Glucose,goldford_X6,goldford_X6_3.0,24
SRR7134379,goldford,simple,Glucose,goldford_X7,goldford_X7_3.0,24
SRR7134378,goldford,simple,Glucose,goldford_X8,goldford_X8_3.0,24
SRR7134381,goldford,simple,Glucose,goldford_X9,goldford_X9_3.0,24
SRR7134380,goldford,simple,Glucose,goldford_X10,goldford_X10_3.0,24
SRR7134383,goldford,simple,Glucose,goldford_X11,goldford_X11_3.0,24
SRR7134382,goldford,simple,Glucose,goldford_X12,goldford_X12_3.0,24
SRR7133912,goldford,simple,Glucose,goldford_X1,goldford_X1_4.0,24
SRR7133913,goldford,simple,Glucose,goldford_X2,goldford_X2_4.0,24
SRR7133914,goldford,simple,Glucose,goldford_X3,goldford_X3_4.0,24
SRR7133915,goldford,simple,Glucose,goldford_X4,goldford_X4_4.0,24
SRR7133916,goldford,simple,Glucose,goldford_X5,goldford_X5_4.0,24
SRR7133917,goldford,simple,Glucose,goldford_X6,goldford_X6_4.0,24
SRR7133918,goldford,simple,Glucose,goldford_X7,goldford_X7_4.0,24
SRR7133919,goldford,simple,Glucose,goldford_X8,goldford_X8_4.0,24
SRR7133904,goldford,simple,Glucose,goldford_X9,goldford_X9_4.0,24
SRR7133905,goldford,simple,Glucose,goldford_X10,goldford_X10_4.0,24
SRR7134082,goldford,simple,Glucose,goldford_X11,goldford_X11_4.0,24
SRR7134081,goldford,simple,Glucose,goldford_X12,goldford_X12_4.0,24
SRR7134080,goldford,simple,Glucose,goldford_X1,goldford_X1_5.0,24
SRR7134079,goldford,simple,Glucose,goldford_X2,goldford_X2_5.0,24
SRR7134078,goldford,simple,Glucose,goldford_X3,goldford_X3_5.0,24
SRR7134077,goldford,simple,Glucose,goldford_X4,goldford_X4_5.0,24
SRR7134076,goldford,simple,Glucose,goldford_X5,goldford_X5_5.0,24
SRR7134075,goldford,simple,Glucose,goldford_X6,goldford_X6_5.0,24
SRR7134084,goldford,simple,Glucose,goldford_X7,goldford_X7_5.0,24
SRR7134083,goldford,simple,Glucose,goldford_X8,goldford_X8_5.0,24
SRR7134171,goldford,simple,Glucose,goldford_X9,goldford_X9_5.0,24
SRR7134172,goldford,simple,Glucose,goldford_X10,goldford_X10_5.0,24
SRR7134169,goldford,simple,Glucose,goldford_X11,goldford_X11_5.0,24
SRR7134170,goldford,simple,Glucose,goldford_X12,goldford_X12_5.0,24
SRR7134167,goldford,simple,Glucose,goldford_X1,goldford_X1_6.0,24
SRR7134168,goldford,simple,Glucose,goldford_X2,goldford_X2_6.0,24
SRR7134165,goldford,simple,Glucose,goldford_X3,goldford_X3_6.0,24
SRR7134166,goldford,simple,Glucose,goldford_X4,goldford_X4_6.0,24
SRR7134163,goldford,simple,Glucose,goldford_X5,goldford_X5_6.0,24
SRR7134164,goldford,simple,Glucose,goldford_X6,goldford_X6_6.0,24
SRR7134325,goldford,simple,Glucose,goldford_X7,goldford_X7_6.0,24
SRR7134324,goldford,simple,Glucose,goldford_X8,goldford_X8_6.0,24
SRR7134327,goldford,simple,Glucose,goldford_X9,goldford_X9_6.0,24
SRR7134326,goldford,simple,Glucose,goldford_X10,goldford_X10_6.0,24
SRR7134321,goldford,simple,Glucose,goldford_X11,goldford_X11_6.0,24
SRR7134320,goldford,simple,Glucose,goldford_X12,goldford_X12_6.0,24
SRR7134323,goldford,simple,Glucose,goldford_X1,goldford_X1_7.0,24
SRR7134322,goldford,simple,Glucose,goldford_X2,goldford_X2_7.0,24
SRR7134317,goldford,simple,Glucose,goldford_X3,goldford_X3_7.0,24
SRR7134316,goldford,simple,Glucose,goldford_X4,goldford_X4_7.0,24
SRR7133836,goldford,simple,Glucose,goldford_X5,goldford_X5_7.0,24
SRR7133837,goldford,simple,Glucose,goldford_X6,goldford_X6_7.0,24
SRR7133838,goldford,simple,Glucose,goldford_X7,goldford_X7_7.0,24
SRR7133839,goldford,simple,Glucose,goldford_X8,goldford_X8_7.0,24
SRR7134402,goldford,simple,Glucose,goldford_X9,goldford_X9_7.0,24
SRR7134403,goldford,simple,Glucose,goldford_X10,goldford_X10_7.0,24
SRR7134404,goldford,simple,Glucose,goldford_X11,goldford_X11_7.0,24
SRR7133835,goldford,simple,Glucose,goldford_X12,goldford_X12_7.0,24
SRR7133840,goldford,simple,Glucose,goldford_X1,goldford_X1_8.0,24
SRR7133841,goldford,simple,Glucose,goldford_X2,goldford_X2_8.0,24
SRR7134003,goldford,simple,Glucose,goldford_X3,goldford_X3_8.0,24
SRR7134002,goldford,simple,Glucose,goldford_X4,goldford_X4_8.0,24
SRR7134001,goldford,simple,Glucose,goldford_X5,goldford_X5_8.0,24
SRR7134000,goldford,simple,Glucose,goldford_X6,goldford_X6_8.0,24
SRR7134007,goldford,simple,Glucose,goldford_X7,goldford_X7_8.0,24
SRR7134006,goldford,simple,Glucose,goldford_X8,goldford_X8_8.0,24
SRR7134005,goldford,simple,Glucose,goldford_X1,goldford_X1_4.0,18
SRR7134004,goldford,simple,Glucose,goldford_X3,goldford_X3_4.0,18
SRR7134010,goldford,simple,Glucose,goldford_X4,goldford_X4_4.0,18
SRR7134009,goldford,simple,Glucose,goldford_X7,goldford_X7_4.0,18
SRR7134111,goldford,simple,Glucose,goldford_X8,goldford_X8_4.0,18
SRR7134112,goldford,simple,Glucose,goldford_X9,goldford_X9_4.0,18
SRR7134109,goldford,simple,Glucose,goldford_X10,goldford_X10_4.0,18
SRR7134110,goldford,simple,Glucose,goldford_X11,goldford_X11_4.0,18
SRR7134115,goldford,simple,Glucose,goldford_X12,goldford_X12_4.0,18
SRR7134116,goldford,simple,Glucose,goldford_X1,goldford_X1_4.0,20
SRR7134113,goldford,simple,Glucose,goldford_X3,goldford_X3_4.0,20
SRR7134114,goldford,simple,Glucose,goldford_X4,goldford_X4_4.0,20
SRR7134103,goldford,simple,Glucose,goldford_X5,goldford_X5_4.0,20
SRR7134104,goldford,simple,Glucose,goldford_X7,goldford_X7_4.0,20
SRR7134260,goldford,simple,Glucose,goldford_X8,goldford_X8_4.0,20
SRR7134259,goldford,simple,Glucose,goldford_X9,goldford_X9_4.0,20
SRR7134262,goldford,simple,Glucose,goldford_X10,goldford_X10_4.0,20
SRR7134261,goldford,simple,Glucose,goldford_X11,goldford_X11_4.0,20
SRR7134264,goldford,simple,Glucose,goldford_X12,goldford_X12_4.0,20
SRR7134263,goldford,simple,Glucose,goldford_X1,goldford_X1_4.0,22
SRR7134266,goldford,simple,Glucose,goldford_X3,goldford_X3_4.0,22
SRR7134265,goldford,simple,Glucose,goldford_X5,goldford_X5_4.0,22
SRR7134256,goldford,simple,Glucose,goldford_X7,goldford_X7_4.0,22
SRR7134255,goldford,simple,Glucose,goldford_X8,goldford_X8_4.0,22
SRR7134048,goldford,simple,Glucose,goldford_X10,goldford_X10_4.0,22
SRR7134047,goldford,simple,Glucose,goldford_X11,goldford_X11_4.0,22
SRR7134046,goldford,simple,Glucose,goldford_X12,goldford_X12_4.0,22
SRR7134045,goldford,simple,Glucose,goldford_X2,goldford_X2_1.0,2
SRR7134052,goldford,simple,Glucose,goldford_X2,goldford_X2_1.0,4
SRR7134051,goldford,simple,Glucose,goldford_X2,goldford_X2_1.0,6
SRR7134050,goldford,simple,Glucose,goldford_X2,goldford_X2_1.0,8
SRR7134049,goldford,simple,Glucose,goldford_X2,goldford_X2_1.0,10
SRR7134044,goldford,simple,Glucose,goldford_X2,goldford_X2_1.0,12
SRR7134043,goldford,simple,Glucose,goldford_X2,goldford_X2_1.0,14
SRR7133885,goldford,simple,Glucose,goldford_X2,goldford_X2_1.0,16
SRR7133886,goldford,simple,Glucose,goldford_X2,goldford_X2_1.0,18
SRR7133887,goldford,simple,Glucose,goldford_X2,goldford_X2_1.0,20
SRR7133888,goldford,simple,Glucose,goldford_X2,goldford_X2_1.0,22
SRR7133881,goldford,simple,Glucose,goldford_X2,goldford_X2_7.0,22
SRR7133882,goldford,simple,Glucose,goldford_X2,goldford_X2_2.0,2
SRR7133883,goldford,simple,Glucose,goldford_X2,goldford_X2_2.0,4
SRR7133884,goldford,simple,Glucose,goldford_X2,goldford_X2_2.0,6
SRR7133879,goldford,simple,Glucose,goldford_X2,goldford_X2_2.0,8
SRR7133880,goldford,simple,Glucose,goldford_X2,goldford_X2_2.0,10
SRR7134359,goldford,simple,Glucose,goldford_X2,goldford_X2_2.0,12
SRR7134358,goldford,simple,Glucose,goldford_X2,goldford_X2_2.0,14
SRR7134361,goldford,simple,Glucose,goldford_X2,goldford_X2_2.0,16
SRR7134360,goldford,simple,Glucose,goldford_X2,goldford_X2_2.0,18
SRR7134355,goldford,simple,Glucose,goldford_X2,goldford_X2_2.0,20
SRR7134354,goldford,simple,Glucose,goldford_X2,goldford_X2_2.0,22
SRR7134357,goldford,simple,Glucose,goldford_X2,goldford_X2_8.0,22
SRR7134356,goldford,simple,Glucose,goldford_X2,goldford_X2_3.0,2
SRR7134363,goldford,simple,Glucose,goldford_X2,goldford_X2_3.0,4
SRR7134362,goldford,simple,Glucose,goldford_X2,goldford_X2_3.0,6
SRR7134201,goldford,simple,Glucose,goldford_X2,goldford_X2_3.0,8
SRR7134202,goldford,simple,Glucose,goldford_X2,goldford_X2_3.0,10
SRR7134199,goldford,simple,Glucose,goldford_X2,goldford_X2_3.0,12
SRR7134200,goldford,simple,Glucose,goldford_X2,goldford_X2_3.0,14
SRR7134197,goldford,simple,Glucose,goldford_X2,goldford_X2_3.0,16
SRR7134198,goldford,simple,Glucose,goldford_X2,goldford_X2_3.0,18
SRR7134195,goldford,simple,Glucose,goldford_X2,goldford_X2_3.0,20
SRR7134196,goldford,simple,Glucose,goldford_X2,goldford_X2_3.0,22
SRR7134203,goldford,simple,Glucose,goldford_X2,goldford_X2_4.0,2
SRR7134204,goldford,simple,Glucose,goldford_X2,goldford_X2_4.0,4
SRR7134132,goldford,simple,Glucose,goldford_X2,goldford_X2_4.0,6
SRR7134131,goldford,simple,Glucose,goldford_X2,goldford_X2_4.0,8
SRR7134130,goldford,simple,Glucose,goldford_X2,goldford_X2_4.0,10
SRR7134129,goldford,simple,Glucose,goldford_X2,goldford_X2_4.0,12
SRR7134128,goldford,simple,Glucose,goldford_X2,goldford_X2_4.0,14
SRR7134127,goldford,simple,Glucose,goldford_X2,goldford_X2_4.0,16
SRR7134126,goldford,simple,Glucose,goldford_X2,goldford_X2_4.0,18
SRR7134125,goldford,simple,Glucose,goldford_X2,goldford_X2_4.0,20
SRR7134124,goldford,simple,Glucose,goldford_X2,goldford_X2_4.0,22
SRR7134123,goldford,simple,Glucose,goldford_X2,goldford_X2_5.0,2
SRR7133946,goldford,simple,Glucose,goldford_X2,goldford_X2_5.0,4
SRR7133947,goldford,simple,Glucose,goldford_X2,goldford_X2_5.0,6
SRR7133948,goldford,simple,Glucose,goldford_X2,goldford_X2_5.0,8
SRR7133949,goldford,simple,Glucose,goldford_X2,goldford_X2_5.0,10
SRR7133950,goldford,simple,Glucose,goldford_X2,goldford_X2_5.0,12
SRR7133951,goldford,simple,Glucose,goldford_X2,goldford_X2_5.0,14
SRR7133952,goldford,simple,Glucose,goldford_X2,goldford_X2_5.0,16
SRR7133953,goldford,simple,Glucose,goldford_X2,goldford_X2_5.0,18
